key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,2744,D00,Queen's Pawn Opening: Amazon Attack,notable,rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq - 1 2,1.d4 d5 2.Qd3,Queens-Pawn-Opening-Amazon-Attack,-0.54,0,1623,33.33,11.11,55.56,Queen's Pawn Opening
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR w KQkq,8787,D00,Queen's Pawn Opening: Amazon Attack,notable,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR w KQkq - 2 3,1.d4 d5 2.Qd3 Nf6,Queens-Pawn-Opening-Amazon-Attack-2...Nf6,-0.31,0,1623,38.89,0,61.11,Queen's Pawn Opening
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq,7529,D00,Queen's Pawn Opening: Amazon; Siberian Attack,notable,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq - 3 3,1.d4 d5 2.Nc3 Nf6 3.Qd3,Queens-Pawn-Opening-Amazon-Siberian-Attack,-0.72,0,1623,45.45,18.18,36.36,Queen's Pawn Opening
rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,3608,A41,Queen's Pawn Opening: Anglo-Slav Opening,notable,rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,1.d4 d6 2.c4 c6,Queens-Pawn-Opening-Anglo-Slav-Opening,0.86,0,1623,47,21.77,31.23,Queen's Pawn Opening
rnbqkbnr/pp2pppp/2pp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,17814,A41,Queen's Pawn Opening: Anglo-Slav Opening,book,rnbqkbnr/pp2pppp/2pp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,1.d4 c6 2.c4 d6 3.Nc3,Queens-Pawn-Opening-Anglo-Slav-Opening-3.Nc3,0.76,0,1623,51.36,20.91,27.73,Queen's Pawn Opening
rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq,1572,D02,Queen's Pawn Opening: Anti-Torre Attack,book,rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,1.d4 d5 2.Nf3 Bg4,Queens-Pawn-Opening-Anti-Torre-Attack,0.68,0,1623,41.11,27.59,31.3,Queen's Pawn Opening
rn1qkbnr/ppp1pppp/8/3pN3/3P2b1/8/PPP1PPPP/RNBQKB1R b KQkq,8882,D02,Queen's Pawn Opening: Anti-Torre Attack,book,rn1qkbnr/ppp1pppp/8/3pN3/3P2b1/8/PPP1PPPP/RNBQKB1R b KQkq - 3 3,1.d4 d5 2.Nf3 Bg4 3.Ne5,Queens-Pawn-Opening-Anti-Torre-Attack-3.Ne5,0.68,0,1623,47.72,26.4,25.89,Queen's Pawn Opening
rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB1R w KQkq,8883,D02,Queen's Pawn Opening: Anti-Torre Attack,book,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB1R w KQkq - 4 4,1.d4 d5 2.Nf3 Bg4 3.Ne5 Bf5,Queens-Pawn-Opening-Anti-Torre-Attack-3.Ne5-Bf5,0.74,0,1623,46.67,27.5,25.83,Queen's Pawn Opening
rn1qkbnr/ppp1pppp/8/3pNb2/3P2P1/8/PPP1PP1P/RNBQKB1R b KQkq,8884,D02,Queen's Pawn Opening: Anti-Torre Attack,notable,rn1qkbnr/ppp1pppp/8/3pNb2/3P2P1/8/PPP1PP1P/RNBQKB1R b KQkq g3 0 4,1.d4 d5 2.Nf3 Bg4 3.Ne5 Bf5 4.g4,Queens-Pawn-Opening-Anti-Torre-Attack-3.Ne5-Bf5-4.g4,0.56,0,1623,22.22,33.33,44.44,Queen's Pawn Opening
r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,2971,A40,Queen's Pawn Opening: Australian Defense,notable,r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,1.d4 Na6,Queens-Pawn-Opening-Australian-Defense,1.08,0,1623,41.22,20.61,38.17,Queen's Pawn Opening
rnbqk2r/pp2npbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq,98,A43,Queen's Pawn Opening: Benoni Defense,notable,rnbqk2r/pp2npbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7 7.Nf3 Ne7,Queens-Pawn-Opening-Benoni-Defense...6.e4-Bg7-7.Nf3-Ne7,1.12,0,106,41.67,19.44,38.89,Benoni Defense
rnbqkbnr/pp3ppp/3p4/2pP4/8/8/PP2PPPP/RNBQKBNR w KQkq,13594,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/pp3ppp/3p4/2pP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6,Queens-Pawn-Opening-Benoni-Defense,0.72,0,106,43.3,24.1,32.6,Benoni Defense
rnbqkbnr/pp3ppp/3p4/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq,13595,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/pp3ppp/3p4/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 5,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3,Queens-Pawn-Opening-Benoni-Defense-5.Nc3,0.72,0,106,43.07,24.79,32.15,Benoni Defense
rnbqkbnr/pp3p1p/3p2p1/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq,13596,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/pp3p1p/3p2p1/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6,0.71,0,106,40.11,26.65,33.25,Benoni Defense
rnbqkbnr/pp3p1p/3p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq,13597,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/pp3p1p/3p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq e3 0 6,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4,0.62,0,106,39.96,25.15,34.89,Benoni Defense
rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq,13598,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 7,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4-Bg7,0.66,0,106,40.55,23.99,35.46,Benoni Defense
rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq,13599,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 2 7,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7 7.Nf3,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4-Bg7-7.Nf3,0.69,0,106,34.2,27.51,38.29,Benoni Defense
rnbqkbnr/1p3ppp/p2p4/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq,25201,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/1p3ppp/p2p4/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 a6,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-a6,1.02,0,106,34.34,25.3,40.36,Benoni Defense
rnbqkbnr/1p3ppp/p2p4/2pP4/P7/2N5/1P2PPPP/R1BQKBNR b KQkq,25202,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/1p3ppp/p2p4/2pP4/P7/2N5/1P2PPPP/R1BQKBNR b KQkq a3 0 6,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 a6 6.a4,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-a6-6.a4,0.92,0,106,34.57,25.31,40.12,Benoni Defense
rnbqkbnr/1p3p1p/p2p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq,25203,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/1p3p1p/p2p2p1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 7,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 a6,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4-a6,0.91,0,106,42.86,25.71,31.43,Benoni Defense
rnbqkbnr/1p3p1p/p2p2p1/2pP4/P3P3/2N5/1P3PPP/R1BQKBNR b KQkq,25204,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/1p3p1p/p2p2p1/2pP4/P3P3/2N5/1P3PPP/R1BQKBNR b KQkq a3 0 7,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 a6 7.a4,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4-a6-7.a4,0.93,0,106,36.52,22.61,40.87,Benoni Defense
rnbqk1nr/1p3pbp/p2p2p1/2pP4/P3P3/2N5/1P3PPP/R1BQKBNR w KQkq,25205,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/1p3pbp/p2p2p1/2pP4/P3P3/2N5/1P3PPP/R1BQKBNR w KQkq - 1 8,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 a6 7.a4 Bg7,Queens-Pawn-Opening-Benoni-Defense...6.e4-a6-7.a4-Bg7,0.92,0,106,36.52,22.61,40.87,Benoni Defense
rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2NB4/PP3PPP/R1BQK1NR b KQkq,25206,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/pp3pbp/3p2p1/2pP4/4P3/2NB4/PP3PPP/R1BQK1NR b KQkq - 2 7,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7 7.Bd3,Queens-Pawn-Opening-Benoni-Defense-5.Nc3-g6-6.e4-Bg7-7.Bd3,0.5,0,106,44.77,29.07,26.16,Benoni Defense
rnbqk1nr/1p3pbp/p2p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq,25207,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/1p3pbp/p2p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 8,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7 7.Nf3 a6,Queens-Pawn-Opening-Benoni-Defense...6.e4-Bg7-7.Nf3-a6,0.62,0,106,30.29,31.43,38.29,Benoni Defense
rnbqk1nr/1p3pbp/p2p2p1/2pP4/P3P3/2N2N2/1P3PPP/R1BQKB1R b KQkq,25208,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqk1nr/1p3pbp/p2p2p1/2pP4/P3P3/2N2N2/1P3PPP/R1BQKB1R b KQkq a3 0 8,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.Nc3 g6 6.e4 Bg7 7.Nf3 a6 8.a4,Queens-Pawn-Opening-Benoni-Defense...6.e4-Bg7-7.Nf3-a6-8.a4,0.64,0,106,28.48,31.65,39.87,Benoni Defense
