key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
r2qkbnr/pp1b2pp/4p3/2ppn3/3P4/2P5/PP2BPPP/RNBQ1RK1 w kq,53830,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b2pp/4p3/2ppn3/3P4/2P5/PP2BPPP/RNBQ1RK1 w kq - 0 9,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 f6 7.O-O fxe5 8.Nxe5 Nxe5,French-Defense-Advance-Paulsen-Euwe-Variation...7.O-O-fxe5-8.Nxe5-Nxe5,0.37,0,632,45.66,19.21,35.12,French Defense
r2qkbnr/pp1b2pp/2n1p3/2ppN3/3P4/2P5/PP2BPPP/RNBQ1RK1 b kq,53840,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b2pp/2n1p3/2ppN3/3P4/2P5/PP2BPPP/RNBQ1RK1 b kq - 0 8,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 f6 7.O-O fxe5 8.Nxe5,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-f6-7.O-O-fxe5-8.Nxe5,0.31,0,632,45.61,19.1,35.28,French Defense
r2qkbnr/pp1b2pp/2n1p3/2ppp3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w kq,53841,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b2pp/2n1p3/2ppp3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 0 8,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 f6 7.O-O fxe5,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-f6-7.O-O-fxe5,0.5,0,632,45.66,19.76,34.58,French Defense
r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq,53849,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 1 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 f6 7.O-O,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-f6-7.O-O,0.5,0,632,46.44,20.56,33,French Defense
r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq,53854,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 f6,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-f6,0.4,0,632,45.36,20.97,33.67,French Defense
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq,53855,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 6 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 Qb6 7.O-O,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-Qb6-7.O-O,0.55,0,632,47.35,20.82,31.84,French Defense
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq,53859,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 cxd4 7.cxd4,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-cxd4-7.cxd4,0.28,0,632,46.91,22.16,30.93,French Defense
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3p4/2P2N2/PP2BPPP/RNBQK2R w KQkq,53862,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/3pP3/3p4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 cxd4,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-cxd4,0.62,0,632,46.28,22.34,31.38,French Defense
2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b k,53875,C02,French Defense: Advance; Paulsen; Euwe Variation,book,2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b k - 6 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 Rc8 7.O-O,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-Rc8-7.O-O,0.5,0,632,40.28,27.78,31.94,French Defense
2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQk,53876,C02,French Defense: Advance; Paulsen; Euwe Variation,book,2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQk - 5 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be2 Rc8,French-Defense-Advance-Paulsen-Euwe-Variation-6.Be2-Rc8,0.43,0,632,39.86,27.7,32.43,French Defense
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq,53946,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Bd3 cxd4 7.cxd4,French-Defense-Advance-Paulsen-Euwe-Variation-6.Bd3-cxd4-7.cxd4,0,0,632,30.79,20.79,48.42,French Defense
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQK2R w KQkq,53947,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQK2R w KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Bd3 cxd4,French-Defense-Advance-Paulsen-Euwe-Variation-6.Bd3-cxd4,0,0,632,33.33,19.34,47.33,French Defense
2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQk,53948,C02,French Defense: Advance; Paulsen; Euwe Variation,book,2rqkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQk - 5 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Bd3 Rc8,French-Defense-Advance-Paulsen-Euwe-Variation-6.Bd3-Rc8,0.41,0,632,34.3,17.44,48.26,French Defense
r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq,53949,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Bd3,French-Defense-Advance-Paulsen-Euwe-Variation-6.Bd3,0,0,632,37.85,16.58,45.57,French Defense
r2qk1nr/pp1b1ppp/2n1p3/2bpP3/8/2PB1N2/PP3PPP/RNBQK2R b KQkq,53950,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qk1nr/pp1b1ppp/2n1p3/2bpP3/8/2PB1N2/PP3PPP/RNBQK2R b KQkq - 1 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.dxc5 Bxc5 7.Bd3,French-Defense-Advance-Paulsen-Euwe-Variation-6.dxc5-Bxc5-7.Bd3,-0.12,0,632,28.9,25.43,45.66,French Defense
r2qk1nr/pp1b1ppp/1bn1p3/3pP3/1P6/2P2N2/P4PPP/RNBQKB1R w KQkq,53958,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qk1nr/pp1b1ppp/1bn1p3/3pP3/1P6/2P2N2/P4PPP/RNBQKB1R w KQkq - 1 8,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.dxc5 Bxc5 7.b4 Bb6,French-Defense-Advance-Paulsen-Euwe-Variation-6.dxc5-Bxc5-7.b4-Bb6,0,0,632,27.43,32.74,39.82,French Defense
r2qk1nr/pp1b1ppp/2n1p3/2bpP3/1P6/2P2N2/P4PPP/RNBQKB1R b KQkq,53959,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qk1nr/pp1b1ppp/2n1p3/2bpP3/1P6/2P2N2/P4PPP/RNBQKB1R b KQkq b3 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.dxc5 Bxc5 7.b4,French-Defense-Advance-Paulsen-Euwe-Variation-6.dxc5-Bxc5-7.b4,0,0,632,29.55,30.3,40.15,French Defense
r2qk1nr/pp1b1ppp/2n1p3/2bpP3/8/2P2N2/PP3PPP/RNBQKB1R w KQkq,53960,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qk1nr/pp1b1ppp/2n1p3/2bpP3/8/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 7,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.dxc5 Bxc5,French-Defense-Advance-Paulsen-Euwe-Variation-6.dxc5-Bxc5,0.11,0,632,29.18,27.54,43.28,French Defense
r2qkbnr/pp1b1ppp/2n1p3/2PpP3/8/2P2N2/PP3PPP/RNBQKB1R b KQkq,53976,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkbnr/pp1b1ppp/2n1p3/2PpP3/8/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.dxc5,French-Defense-Advance-Paulsen-Euwe-Variation-6.dxc5,0.01,0,632,29.91,27.1,42.99,French Defense
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/1P1P4/P4N2/1B3PPP/RN1QKB1R b KQkq,54039,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkb1r/pp1b1ppp/2n1p3/3pPn2/1P1P4/P4N2/1B3PPP/RN1QKB1R b KQkq - 2 9,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.a3 Nge7 7.b4 cxd4 8.cxd4 Nf5 9.Bb2,French-Defense-Advance-Paulsen-Euwe-Variation...7.b4-cxd4-8.cxd4-Nf5-9.Bb2,-0.18,0,632,28.92,30.12,40.96,French Defense
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq,54045,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkb1r/pp1b1ppp/2n1p3/3pPn2/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq - 1 9,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.a3 Nge7 7.b4 cxd4 8.cxd4 Nf5,French-Defense-Advance-Paulsen-Euwe-Variation...7.b4-cxd4-8.cxd4-Nf5,-0.03,0,632,25.84,28.52,45.64,French Defense
r2qkb1r/pp1bnppp/2n1p3/3pP3/1P1P4/P4N2/5PPP/RNBQKB1R b KQkq,54100,C02,French Defense: Advance; Paulsen; Euwe Variation,book,r2qkb1r/pp1bnppp/2n1p3/3pP3/1P1P4/P4N2/5PPP/RNBQKB1R b KQkq - 0 8,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.a3 Nge7 7.b4 cxd4 8.cxd4,French-Defense-Advance-Paulsen-Euwe-Variation-6.a3-Nge7-7.b4-cxd4-8.cxd4,-0.08,0,632,27.54,29.66,42.8,French Defense
